,Symbols,Source_urls,Oustanding_Shares,Raw_outstanding_share_vals
MMM,MMM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/66740/000006674022000076/mmm-20220930.htm',"552,742,915",552742915
AOS,AOS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/91142/000009114222000101/aos-20220930.htm',"25,905,876",25905876
ABT,ABT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000162828022027550/abt-20220930.htm',"1,743,573,777",1743573777
ABBV,ABBV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1551152/000155115222000045/abbv-20220930.htm',"1,768,480,508",1768480508
ACN,ACN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1467373/000146737322000370/acn-20221130.htm',"658,388,513",658388513
ATVI,ATVI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/718877/000162828022028658/atvi-20220930.htm',"782,625,319",782625319
ADM,ADM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/7084/000000708422000029/adm-20220930.htm',"549,334,227",549334227
ADBE,ADBE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/796343/000079634322000196/adbe-20220902.htm',"464,900,000",464900000
ADP,ADP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/8670/000000867022000046/adp-20220930.htm',"414,827,769",414827769
AAP,AAP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1158449/000115844922000268/aap-20221008.htm',"59,253,716",59253716
AES,AES,'https://www.sec.gov/ix?doc=/Archives/edgar/data/874761/000087476122000073/aes-20220930.htm',"667,949,778",667949778
AFL,AFL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/4977/000000497722000145/afl-20220930.htm',"621,788,560",621788560
A,A,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1090872/000109087222000026/a-20221031.htm',"296,072,040",296072040
APD,APD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/2969/000000296922000054/apd-20220930.htm',"221,865,971",221865971
AKAM,AKAM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1086222/000108622222000251/akam-20220930.htm',"157,242,292",157242292
ALK,ALK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/766421/000076642122000071/alk-20220930.htm',"126,837,831",126837831
ALB,ALB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/915913/000091591322000167/alb-20220930.htm',"117,152,794",117152794
ARE,ARE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1035443/000103544322000308/are-20220930.htm',"164,087,276",164087276
ALGN,ALGN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1097149/000109714922000067/algn-20220930.htm',"78,112,351",78112351
ALLE,ALLE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1579241/000157924122000063/alle-20220930.htm',"87,844,822",87844822
LNT,LNT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/352541/000035254122000082/lnt-20220930.htm',"251,021,830",251021830
ALL,ALL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/899051/000089905122000079/all-20220930.htm',"265,209,574",265209574
